,knn__algorithm,knn__metric,knn__n_neighbors,knn__weights,auc,f1,sensitivity,specificity,accuracy
Outer 302,auto,euclidean,3,uniform,0.6434684117795118,0.05714285714285714,0.034482758620689655,0.9635036496350365,0.8012048192771084
Outer 303,auto,euclidean,3,uniform,0.6096149005789077,0.21621621621621623,0.13793103448275862,0.9708029197080292,0.8253012048192772
Outer 304,auto,euclidean,3,uniform,0.5838157563553988,0.11764705882352941,0.06896551724137931,0.9781021897810219,0.8192771084337349
Outer 305,auto,euclidean,3,uniform,0.5757613893783037,0.3076923076923077,0.20689655172413793,0.9708029197080292,0.8373493975903614
Outer 306,auto,euclidean,3,uniform,0.5864585955197583,0.21052631578947367,0.13793103448275862,0.9635036496350365,0.8192771084337349
Outer 307,auto,euclidean,3,uniform,0.6194311603322427,0.22857142857142856,0.13793103448275862,0.9854014598540146,0.8373493975903614
Outer 308,auto,euclidean,3,uniform,0.6257236345330984,0.2727272727272727,0.20689655172413793,0.9343065693430657,0.8072289156626506
Outer 309,auto,euclidean,3,uniform,0.5818021646111251,0.12121212121212122,0.06896551724137931,0.9854014598540146,0.8253012048192772
Outer 310,auto,euclidean,3,uniform,0.6106216964510446,0.125,0.06896551724137931,0.9927007299270073,0.8313253012048193
Outer 311,auto,euclidean,3,uniform,0.6754341807198591,0.2857142857142857,0.1724137931034483,0.9927007299270073,0.8493975903614458
Outer 312,auto,euclidean,3,uniform,0.5104455071734206,0.12121212121212122,0.06896551724137931,0.9854014598540146,0.8253012048192772
Outer 313,auto,euclidean,3,uniform,0.6341555499622452,0.16216216216216217,0.10344827586206896,0.9635036496350365,0.8132530120481928
Outer 314,auto,euclidean,3,uniform,0.5867102944877928,0.2564102564102564,0.1724137931034483,0.9635036496350365,0.8253012048192772
Outer 315,auto,euclidean,3,uniform,0.6101182985149761,0.11764705882352941,0.06896551724137931,0.9781021897810219,0.8192771084337349
Outer 316,auto,euclidean,3,uniform,0.5767681852504405,0.16666666666666666,0.10344827586206896,0.9708029197080292,0.8192771084337349
Outer 317,auto,euclidean,3,uniform,0.6347847973823307,0.2631578947368421,0.1724137931034483,0.9708029197080292,0.8313253012048193
Outer 318,auto,euclidean,3,uniform,0.5660709791089856,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 319,auto,euclidean,3,uniform,0.6180468160080543,0.17142857142857143,0.10344827586206896,0.9781021897810219,0.8253012048192772
Outer 320,auto,euclidean,3,uniform,0.6378051849987415,0.21621621621621623,0.13793103448275862,0.9708029197080292,0.8253012048192772
Outer 321,auto,euclidean,3,uniform,0.6566826076013089,0.16666666666666666,0.10344827586206896,0.9708029197080292,0.8192771084337349
Outer 322,auto,euclidean,3,uniform,0.6755600302038762,0.2631578947368421,0.1724137931034483,0.9708029197080292,0.8313253012048193
Outer 323,auto,euclidean,3,uniform,0.6409514220991694,0.21621621621621623,0.13793103448275862,0.9708029197080292,0.8253012048192772
Outer 324,auto,euclidean,3,uniform,0.6102441479989933,0.29411764705882354,0.1724137931034483,1.0,0.8554216867469879
Outer 325,auto,euclidean,3,uniform,0.604580921218223,0.17142857142857143,0.10344827586206896,0.9781021897810219,0.8253012048192772
Outer 326,auto,euclidean,3,uniform,0.6145230304555751,0.18181818181818182,0.10344827586206896,0.9927007299270073,0.8373493975903614
Outer 327,auto,euclidean,3,uniform,0.6024414799899321,0.12121212121212122,0.06896551724137931,0.9854014598540146,0.8253012048192772
Outer 328,auto,euclidean,3,uniform,0.5640573873647118,0.22857142857142856,0.13793103448275862,0.9854014598540146,0.8373493975903614
Outer 329,auto,euclidean,3,uniform,0.712433929020891,0.3333333333333333,0.2413793103448276,0.9562043795620438,0.8313253012048193
Outer 330,auto,euclidean,3,uniform,0.673294739491568,0.3684210526315789,0.2413793103448276,0.9854014598540146,0.8554216867469879
Outer 331,auto,euclidean,3,uniform,0.6681349106468664,0.2926829268292683,0.20689655172413793,0.9562043795620438,0.8253012048192772
Outer 332,auto,euclidean,3,uniform,0.5763906367983892,0.2631578947368421,0.1724137931034483,0.9708029197080292,0.8313253012048193
Outer 333,auto,euclidean,3,uniform,0.5794110244147999,0.1951219512195122,0.13793103448275862,0.9416058394160584,0.8012048192771084
Outer 334,auto,euclidean,3,uniform,0.6780770198842185,0.358974358974359,0.2413793103448276,0.9781021897810219,0.8493975903614458
Outer 335,auto,euclidean,3,uniform,0.6039516737981374,0.25,0.1724137931034483,0.9562043795620438,0.8192771084337349
Outer 336,auto,euclidean,3,uniform,0.6091115026428392,0.17647058823529413,0.10344827586206896,0.9854014598540146,0.8313253012048193
Outer 337,auto,euclidean,3,uniform,0.6613390385099421,0.2,0.13793103448275862,0.948905109489051,0.8072289156626506
Outer 338,auto,euclidean,3,uniform,0.6632267807701989,0.22857142857142856,0.13793103448275862,0.9854014598540146,0.8373493975903614
Outer 339,auto,euclidean,3,uniform,0.6754341807198591,0.2777777777777778,0.1724137931034483,0.9854014598540146,0.8433734939759037
Outer 340,auto,euclidean,3,uniform,0.5819280140951424,0.11428571428571428,0.06896551724137931,0.9708029197080292,0.8132530120481928
Outer 341,auto,euclidean,3,uniform,0.6591995972816511,0.23529411764705882,0.13793103448275862,0.9927007299270073,0.8433734939759037
Outer 342,auto,euclidean,3,uniform,0.6837402466649887,0.22857142857142856,0.13793103448275862,0.9854014598540146,0.8373493975903614
Outer 343,auto,euclidean,3,uniform,0.6210672036244652,0.16216216216216217,0.10344827586206896,0.9635036496350365,0.8132530120481928
Outer 344,auto,euclidean,3,uniform,0.583941605839416,0.2222222222222222,0.13793103448275862,0.9781021897810219,0.8313253012048193
Outer 345,auto,euclidean,3,uniform,0.6315127107978857,0.21621621621621623,0.13793103448275862,0.9708029197080292,0.8253012048192772
Outer 346,auto,euclidean,3,uniform,0.65139692927259,0.2857142857142857,0.1724137931034483,0.9927007299270073,0.8493975903614458
Outer 347,auto,euclidean,3,uniform,0.7101686383085829,0.34146341463414637,0.2413793103448276,0.9635036496350365,0.8373493975903614
Outer 348,auto,euclidean,3,uniform,0.6726654920714825,0.21052631578947367,0.13793103448275862,0.9635036496350365,0.8192771084337349
Outer 349,auto,euclidean,3,uniform,0.6730430405235339,0.22857142857142856,0.13793103448275862,0.9854014598540146,0.8373493975903614
Outer 350,auto,euclidean,3,uniform,0.708029197080292,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 351,auto,euclidean,3,uniform,0.5840674553234332,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 352,auto,euclidean,3,uniform,0.5909891769443745,0.2702702702702703,0.1724137931034483,0.9781021897810219,0.8373493975903614
Outer 353,auto,euclidean,3,uniform,0.6420840674553234,0.17142857142857143,0.10344827586206896,0.9781021897810219,0.8253012048192772
Outer 354,auto,euclidean,3,uniform,0.6159073747797635,0.21052631578947367,0.13793103448275862,0.9635036496350365,0.8192771084337349
Outer 355,auto,euclidean,3,uniform,0.5284419833878681,0.06060606060606061,0.034482758620689655,0.9781021897810219,0.8132530120481928
Outer 356,auto,euclidean,3,uniform,0.7323181474955952,0.3,0.20689655172413793,0.9635036496350365,0.8313253012048193
Outer 357,auto,euclidean,3,uniform,0.5956456078530079,0.2727272727272727,0.20689655172413793,0.9343065693430657,0.8072289156626506
Outer 358,auto,euclidean,3,uniform,0.5393908884973572,0.06060606060606061,0.034482758620689655,0.9781021897810219,0.8132530120481928
Outer 359,auto,euclidean,3,uniform,0.630757613893783,0.17142857142857143,0.10344827586206896,0.9781021897810219,0.8253012048192772
Outer 360,auto,euclidean,3,uniform,0.6070979108985654,0.25,0.1724137931034483,0.9562043795620438,0.8192771084337349
Outer 361,auto,euclidean,3,uniform,0.6250943871130128,0.2702702702702703,0.1724137931034483,0.9781021897810219,0.8373493975903614
Outer 362,auto,euclidean,3,uniform,0.5834382079033475,0.11428571428571428,0.06896551724137931,0.9708029197080292,0.8132530120481928
Outer 363,auto,euclidean,3,uniform,0.6127611376793355,0.06060606060606061,0.034482758620689655,0.9781021897810219,0.8132530120481928
Outer 364,auto,euclidean,3,uniform,0.6461112509438711,0.21621621621621623,0.13793103448275862,0.9708029197080292,0.8253012048192772
