,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth,bootstrap,auc,f1,sensitivity,specificity,accuracy
Outer 22 - Inner 3,87,9,3,0.5417364805643352,25,True,0.7359677825320916,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 22 - Inner 4,191,7,1,0.9446487273952322,5,True,0.7505663226780771,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 22 - Inner 5,172,4,4,0.6202942188237109,16,True,0.7686886483765416,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 23 - Inner 0,52,8,4,0.9735119744259445,15,True,0.7397432670526051,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 23 - Inner 1,159,9,4,0.7805790826028174,8,True,0.751573118550214,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 23 - Inner 2,96,2,3,0.8660835196939878,18,True,0.7649131638560283,0.29411764705882354,0.1724137931034483,1.0,0.8554216867469879
Outer 23 - Inner 3,125,6,3,0.9351539490810239,11,True,0.7641580669519255,0.24242424242424243,0.13793103448275862,1.0,0.8493975903614458
Outer 23 - Inner 4,154,5,4,0.5839524985219409,20,True,0.7495595268059401,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 23 - Inner 5,90,7,3,0.8115222664103292,24,True,0.7623961741756858,0.23529411764705882,0.13793103448275862,0.9927007299270073,0.8433734939759037
Outer 24 - Inner 0,105,3,4,0.678552669049042,19,True,0.8056883966775736,0.125,0.06896551724137931,0.9927007299270073,0.8313253012048193
Outer 24 - Inner 1,96,2,3,0.9047744150652006,20,True,0.8122325698464636,0.125,0.06896551724137931,0.9927007299270073,0.8313253012048193
Outer 24 - Inner 2,51,4,3,0.977775162761497,28,True,0.7660458092121822,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 24 - Inner 3,150,8,3,0.5031664225932253,6,True,0.7387364711804681,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 24 - Inner 4,178,4,2,0.8292755965833891,22,True,0.7963755348603071,0.18181818181818182,0.10344827586206896,0.9927007299270073,0.8373493975903614
Outer 24 - Inner 5,124,5,3,0.8799481508356669,13,True,0.7566070979108985,0.22857142857142856,0.13793103448275862,0.9854014598540146,0.8373493975903614
Outer 25 - Inner 0,156,2,3,0.5635431546238405,15,True,0.7017367228794362,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 25 - Inner 1,170,4,3,0.7247367328110439,21,True,0.7266549207148251,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 25 - Inner 2,113,3,4,0.6586076232921982,22,True,0.660206393153788,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 25 - Inner 3,176,10,3,0.8683923313811055,12,True,0.7002265290712308,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 25 - Inner 4,176,8,2,0.9521639263266023,27,True,0.6541656179209665,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 25 - Inner 5,195,2,4,0.5096876597876636,22,True,0.6629750818021646,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 26 - Inner 0,173,7,1,0.6374764140301313,7,True,0.7593757865592751,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 26 - Inner 1,122,10,4,0.554202525198183,8,True,0.7729675308331236,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 26 - Inner 2,82,2,1,0.7504457420473405,5,True,0.773470928769192,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 26 - Inner 3,125,10,2,0.8994056698943074,30,True,0.7830354895544928,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 26 - Inner 4,189,5,4,0.7552197238172624,13,True,0.7953687389881701,0.125,0.06896551724137931,0.9927007299270073,0.8313253012048193
Outer 26 - Inner 5,101,10,2,0.9245318123999573,9,True,0.7394915680845708,0.18181818181818182,0.10344827586206896,0.9927007299270073,0.8373493975903614
